,1940,1950,1960,1970,1980,1990,2000,2010
mn0000660812,,,,,,0.00011010032892473266,0.00018928997331011378,0.00019990786854753897
mn0000669738,,,,,2.2525059128280213e-05,6.881270557795791e-05,6.625149065853981e-05,6.0841525210120555e-05
mn0000549571,,,,,,1.3762541115591582e-05,3.785799466202275e-05,3.4766585834354605e-05
mn0000562304,,,0.00011172560192168035,0.0031504240955513244,0.004054510643090438,0.003619548313400586,0.0033504325275890137,0.0031637593109262686
mn0000240311,,0.0005177323323841574,0.001005530417295123,0.0009001211701575212,0.0007883770694898074,0.0006055518090860297,0.0004921539306062957,0.00046065726230519845
mn0000787757,,,,0.0003115804050545266,0.0003829260051807636,0.00028901336342742327,0.00020821897064112515,0.0001912162220889503
mn0000051376,,,,0.00013848018002423403,0.0006081765964635657,0.0007707023024731286,0.0010789528478676485,0.00109514745378217
mn0000490004,,,,0.0024234031504240957,0.003919360288320757,0.0037846988067876852,0.003359897026254519,0.003233292482594978
mn0000182598,,,0.00016758840288252054,0.0019387225203392764,0.00209483049893006,0.002050618626223146,0.0018455772397736091,0.0017296376452591415
mn0000044906,,,,,0.0005406014190787251,0.0005505016446236633,0.000577334418595847,0.0005823403127254396
mn0000404345,,,0.00011172560192168035,0.00024234031504240955,0.0002027255321545219,0.00019267557561828216,0.0001608964773135967,0.00015644963625459571
mn0000137173,,,,0.0,0.0002027255321545219,0.0004128762334677475,0.0004826894319407901,0.0004693489087637871
mn0003110407,,,,,,,0.0,0.0
mn0000254972,,,,,0.0,4.128762334677475e-05,0.00011357398398606826,0.00014775798979600705
mn0000175557,,,,,0.0,0.0,9.464498665505687e-06,1.7383292917177302e-05
mn0000848793,,,,,,,9.464498665505687e-06,8.691646458588651e-06
mn0000597474,,,,,,,0.0,0.0
mn0000320442,,,,,2.2525059128280213e-05,1.3762541115591582e-05,2.8393495996517066e-05,2.607493937576595e-05
mn0000098465,,,,0.00020772027003635105,0.0011037278972857304,0.0013624915704435667,0.0014102103011603476,0.0013558968475398294
mn0000771438,,,0.0003910396067258812,0.0014194218452483988,0.003333708750985471,0.0036745984778629526,0.003359897026254519,0.0031724509573848574
mn0000228323,,,,,0.00015767541389796147,0.0003165384456586064,0.00034072195195820475,0.00031289927250919143
mn0000928351,,,,,2.2525059128280213e-05,0.00019267557561828216,0.00033125745329269906,0.00030420762605060277
mn0000785611,,0.00012943308309603936,0.0006144908105692419,0.0005539207200969361,0.0004054510643090438,0.0003165384456586064,0.00023661246663764221,0.00021729116146471626
mn0000077870,0.0,0.0018120631633445508,0.0012289816211384838,0.0008308810801454042,0.0005856515373352855,0.00035782606900538116,0.00025554146396865356,0.00023467445438189356
mn0000538677,,0.003753559409785141,0.004860063683593096,0.0038774450406785527,0.002725532154521906,0.0018579430506048638,0.0013818168051638305,0.0012863636758711204
mn0000071336,0.0,0.0006471654154801967,0.0006144908105692419,0.0003808204950666436,0.00024777565041108235,0.000165150493387099,0.00011357398398606826,0.0001042997575030638
mn0000120521,,0.004918457157649495,0.007988380537400145,0.006681668686169292,0.004752787476067125,0.003096571751008106,0.002214692687728331,0.002042536917768333
mn0000754032,,,0.020166471146863305,0.021637528128786568,0.019529226264218942,0.016459999174247533,0.013553162089004145,0.012863636758711203
mn0000694967,,0.0010354646647683149,0.0020669236355510866,0.0017310022503029255,0.0013515035476968128,0.0010046655014381855,0.0008423403812300062,0.0007996314741901559
mn0000277549,0.0,0.000776598498576236,0.0013965700240210043,0.0009347412151635797,0.0006307016555918459,0.0003853511512365643,0.00026500596263415925,0.00024336610084048222
mn0000153526,,0.00012943308309603936,0.0005027652086475615,0.0004154405400727021,0.00029282576866764275,0.00019267557561828216,0.00013250298131707962,0.00012168305042024111
mn0000130252,,,,,,0.0,0.0,0.0
mn0000037658,,,0.0004469024076867214,0.0006924009001211701,0.0006757517738484064,0.0008670400902822697,0.0008991273732230404,0.0008865479387760424
mn0000929776,,0.0,0.0,0.0,0.0,9.633778780914108e-05,0.000151431978648091,0.00018252457563036167
mn0000782191,,,,,0.00011262529564140106,0.00030277590454301485,0.00026500596263415925,0.0002694410402162482
mn0000518313,,,,,4.5050118256560425e-05,0.00017891303450269058,0.00012303848265157394,0.00011299140396165246
mn0000218490,,,,,,0.0,0.0,0.0
mn0000105354,,,,0.0003808204950666436,0.0012614033111836918,0.0018028928861424974,0.0016752162637945068,0.001616646241297489
mn0000416245,,,,0.0005885407651029947,0.000743326951233247,0.0009771404192070025,0.0007855533892369721,0.0007387899489800353
mn0002628403,,,,,,,,0.0
mn0001853710,,,,,,,,8.691646458588651e-06
mn0000752314,,,,,6.757517738484064e-05,0.0007707023024731286,0.0015332487838119215,0.001712254352341964
mn0000502098,,,,,,1.3762541115591582e-05,9.464498665505687e-06,1.7383292917177302e-05
mn0001931591,,,,,,,0.0,0.0
mn0000792530,,,,,0.0,0.00020643811673387374,0.0005962634159268584,0.0005649570198082623
mn0000858827,,,,0.0005539207200969361,0.0011037278972857304,0.0010872407481317351,0.0012966363171742793,0.0013124386152468862
mn0001724747,,,,,,,,0.0
mn0002204667,,,,,,,,8.691646458588651e-06
mn0001909415,,,,,,,,8.691646458588651e-06
mn0001634659,,,,,,,,8.691646458588651e-06
mn0000982499,,,,,,0.0,0.0,0.0
mn0000007448,,,0.00011172560192168035,0.00013848018002423403,0.00022525059128280213,0.00019267557561828216,0.00013250298131707962,0.00013037469687882976
mn0000896828,,,,,,1.3762541115591582e-05,9.464498665505687e-06,8.691646458588651e-06
