,1940,1950,1960,1970,1980,1990,2000,2010
mn0000010982,,,,,,0.0,0.0020222446916076846,0.0019579050416054823
mn0000490004,,,,-0.040315512708150744,-0.03659233847913093,-0.01382852627419992,0.0008941877794336811,0.00398066533977822
mn0000540883,,,,,-0.002145922746781116,-0.004369992716678805,-0.006539509536784741,-0.006727037516170763
mn0002680237,,,,,,,,
mn0000002411,,,-0.0049261083743842365,0.003745318352059925,0.005917159763313609,0.008364312267657992,0.014079147640791476,0.015289406625409537
mn0000129430,,,,-0.005050505050505051,-0.0035460992907801418,0.014423076923076924,0.04570383912248629,0.0548885077186964
mn0000696150,,,,,,,,
mn0000387815,,,,-0.03282275711159737,-0.026378896882494004,-0.015661707126076743,-0.006391632771644393,-0.006539509536784741
mn0000750519,,,-0.03571428571428571,-0.02824858757062147,-0.018518518518518517,-0.013232514177693762,0.005128205128205128,0.021487603305785124
mn0000084803,,,0.0,0.005607476635514018,0.010825439783491205,0.012922465208747515,0.018837018837018837,0.020265003897116135
mn0000343665,,,,,,,,
mn0000412227,,,,,,,,
mn0000117569,,,,,,,,
mn0001649881,,,,,,,,
mn0000753706,,,,,,,-0.00558659217877095,-0.0049586776859504135
mn0000010299,,,,0.0049261083743842365,0.004424778761061947,0.00392156862745098,0.003355704697986577,0.003236245954692557
mn0000238115,,0.08823529411764706,0.23024054982817868,0.28023598820059,0.2864864864864865,0.28741092636579574,0.2925851703406814,0.2950191570881226
mn0000246885,,-0.0078125,-0.012121212121212121,0.005376344086021506,0.004975124378109453,0.004545454545454545,0.004201680672268907,0.0041841004184100415
mn0000964011,,,,,,,,
mn0000414251,,,-0.05121293800539083,-0.06140350877192982,-0.05295315682281059,-0.029357798165137616,-0.012987012987012988,-0.009433962264150943
mn0000015762,,,,,,,,
mn0000569068,,,,,,,,
mn0000828408,,,,,,,,
mn0000077283,,,,,-0.05102040816326531,-0.1282051282051282,-0.10040160642570281,-0.09722222222222222
mn0000507491,,,,,,-0.055408970976253295,-0.02066115702479339,-0.012121212121212121
mn0000892827,,,,,,-0.027950310559006212,-0.006864988558352402,0.023758099352051837
mn0000382455,,,,,,-0.0975609756097561,-0.08024691358024691,-0.0708955223880597
mn0000581262,,,,,-0.0014749262536873156,-0.0016759776536312849,-0.0013895321908290875,-0.0013404825737265416
mn0000923935,,,-0.0018552875695732839,0.0,0.0,-0.0012062726176115801,-0.001148105625717566,-0.0011376564277588168
mn0000677781,,-0.0234375,-0.032171581769437,-0.02414486921529175,-0.01757469244288225,-0.015600624024960999,-0.019662921348314606,-0.01912568306010929
mn0000150768,,,,,,,,
mn0000741307,,,,,,,,
mn0000138833,,,0.008670520231213872,-0.005607476635514018,-0.0015360983102918587,0.008567931456548347,0.018518518518518517,0.027339642481598318
mn0000830319,,-0.0026041666666666665,0.0078125,0.008561643835616438,0.019077901430842606,0.01867816091954023,0.017955801104972375,0.01790633608815427
mn0000674011,,,0.004796163069544364,0.0037243947858473,0.0,0.0013774104683195593,0.0038314176245210726,0.0037735849056603774
mn0000403120,0.06299212598425197,0.1564245810055866,0.17560975609756097,0.167420814479638,0.168141592920354,0.15637860082304528,0.1593625498007968,0.15873015873015872
mn0000077262,,,,,,,,
mn0000129004,,,,,-0.007575757575757576,0.0,0.0,0.0
mn0000815236,,,,,,0.0014144271570014145,0.00261437908496732,0.0038860103626943004
mn0003736051,,,,,,,,
mn0000761179,,,,,,-0.0056657223796034,-0.01935483870967742,-0.0012547051442910915
mn0002455573,,,,,,,,0.002824858757062147
mn0000921002,,,,-0.010101010101010102,-0.008333333333333333,-0.01020408163265306,-0.013440860215053764,-0.01020408163265306
mn0001013175,,,,,,,0.0,0.001869158878504673
mn0000005882,,,-0.0027624309392265192,-0.012568735271013355,-0.012777777777777779,-0.009361009361009361,-0.0038548024413748794,-0.0015422578655151142
mn0000397880,,,,0.0011160714285714285,-0.0028735632183908046,-0.008758371973209686,-0.010385756676557863,-0.010790114862513052
mn0000175286,,,-0.003205128205128205,-0.0199501246882793,-0.029045643153526972,-0.023064250411861616,-0.010165184243964422,-0.0036407766990291263
mn0000898309,,,,,,,,
mn0000988440,,,-0.01037344398340249,-0.013360053440213761,-0.014335145823035097,-0.005409304002884962,-0.0005770340450086555,0.0011135857461024498
mn0000333464,,,,,-0.0007651109410864575,-0.004651162790697674,-0.0015829046299960427,-0.0015077271013946476
